Varicose veins,Varicose veins are when a vein gets bigger and twisted often looking like a bulging blue line under the skin. They usually happen in older adults especially women and mostly on the legs.
AIDS,AIDS is a serious illness caused by HIV a virus that weakens your immune system. This makes it hard for your body to fight off infections and diseases which can be life-threatening.
Paralysis (brain hemorrhage),Intracerebral hemorrhage (ICH) happens when blood suddenly bursts into your brain tissue causing brain damage. Symptoms show up all of a sudden and can include a headache weakness confusion and paralysis especially on one side of your body.
Typhoid,Typhoid fever is a sickness caused by a bacterium called Salmonella typhi. It usually starts slowly with a fever and symptoms like headache constipation feeling tired chills and muscle pain. Diarrhea is not common and vomiting is usually not very bad.
Hepatitis B,Hepatitis B is a liver infection that can lead to liver scarring failure and cancer. If not treated it can be deadly. It spreads when people touch the blood open sores or body fluids of someone with the hepatitis B virus.
Fungal infection,Fungal infections happen when a fungus grows in the body and overwhelms the immune system. Fungi are found in the air soil water and plants. Some fungi naturally live in the human body. Just like other microbes some fungi are good for us while others can make us sick.
Hepatitis C,Hepatitis C is a liver inflammation caused by the hepatitis C virus (HCV). It mostly spreads through blood transfusion (though this is rare) hemodialysis and needle sticks. Hepatitis C can harm the liver leading to cirrhosis and its complications including cancer.
Migraine,Migraines can bring intense throbbing pain or a pulsing feeling usually on one side of the head. They often come with nausea vomiting and being really sensitive to light and sound. Migraine attacks can last from hours to days and the pain can be so bad that it stops you from doing normal things.
Bronchial Asthma,Bronchial asthma makes the airways in your lungs swell and get narrow which makes it hard to breathe. This swelling also leads to extra mucus causing coughing shortness of breath and wheezing. It's a long-term condition that can disrupt your daily activities.
Alcoholic hepatitis,Alcoholic hepatitis is a liver disease caused by drinking too much alcohol for a long time. Binge drinking and continuous alcohol use make it worse. If you have this condition and it's crucial to stop drinking alcohol.
Jaundice,Jaundice is when your skin and the whites of your eyes turn yellow because of too much bilirubin in your blood. This yellow color can also show up in other parts of your body. Long ago people thought only a king's touch could cure it calling it the "regal disease."
Hepatitis E,Hepatitis E is a rare type of liver inflammation caused by the hepatitis E virus (HEV). It spreads through food or drinks handled by an infected person or through water contaminated with fecal matter. Unlike some other types of hepatitis hepatitis E doesn't lead to long-term liver problems.
Dengue,Dengue fever is a sickness caused by a virus called Dengue virus spread by Aedes mosquitoes. It brings headache intense joint pain and a rash. It's also known as breakbone fever because of the severe pain it causes.
Hepatitis D,Hepatitis D or hepatitis delta virus is an infection that makes your liver swell up. This swelling can hurt how well your liver works and lead to serious long-term problems like scarring and cancer. It's caused by the hepatitis D virus (HDV).
Heart attack,Myocardial infarction commonly known as a heart attack occurs when heart muscle dies because it's not getting enough blood. This lack of blood flow usually happens because one of the coronary arteries which supply blood to the heart muscle is completely blocked.
Pneumonia,Pneumonia is when you get an infection in one or both of your lungs. It can be caused by bacteria viruses or fungi. This infection makes the air sacs in your lungs called alveoli swell up and fill with fluid or pus making it hard to breathe.
Arthritis,Arthritis is when your joints swell up and feel tender. The main signs are joint pain and stiffness and they usually get worse as you get older. The two most common types are osteoarthritis and rheumatoid arthritis.
Gastroenteritis,Gastroenteritis is when your digestive tract including your stomach and intestines gets inflamed. It's usually caused by viruses or bacteria and can make you have diarrhea stomach cramps feel nauseous and vomit.
Tuberculosis,Tuberculosis (TB) is a contagious illness often caused by Mycobacterium tuberculosis (MTB) bacteria. It mostly affects the lungs but can also harm other body parts. Many people with TB don't have symptoms and this is called latent tuberculosis.
